City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,bridgewater,44.3835,-64.5155,35.67,91,100,6.91,CA,1742367400
323,brokopondo,4.75,-55.1667,75.7,86,78,6.53,SR,1742367402
324,prince rupert,54.3161,-130.3201,44.29,66,100,28.77,CA,1742367403
325,port hedland,-20.3167,118.5667,93.25,66,41,11.5,AU,1742367404
326,cascais,38.6979,-9.4215,59.5,78,100,32.7,PT,1742367405
327,norfolk,42.1668,-71.2495,37.58,74,0,0.0,US,1742367407
328,kuna,43.4918,-116.4201,32.56,67,0,1.01,US,1742367360
329,chui,-33.6971,-53.4616,61.81,95,0,4.47,UY,1742367410
330,hosdurga,13.7981,76.2861,91.29,30,10,3.87,IN,1742367411
331,grande prairie,55.1667,-118.8027,28.58,59,0,9.22,CA,1742367135
332,dryden,49.7833,-92.7503,25.09,58,20,8.05,CA,1742367413
333,tocoa,15.6833,-86.0,71.1,100,90,1.05,HN,1742367414
334,touros,-5.1989,-35.4608,77.79,85,35,7.99,BR,1742367416
335,barda,40.3744,47.1267,60.08,46,100,8.34,AZ,1742367417
336,ngereklmadel,7.4883,134.4856,82.49,83,75,8.05,PW,1742367418
337,bereznehuvate,47.3078,32.8499,37.15,47,9,9.4,UA,1742367419
338,yatou,37.15,122.3833,52.66,31,6,11.3,CN,1742367420
339,soc trang,9.6033,105.98,94.6,37,100,15.37,VN,1742367421
340,celestun,20.8667,-90.4,69.06,70,0,15.46,MX,1742367422
341,tadmur,34.5608,38.2805,62.19,43,95,18.43,SY,1742367424
342,bhuj,23.2667,69.6667,89.44,15,0,9.98,IN,1742367425
343,atafu village,-8.5421,-172.5159,82.51,77,13,9.42,TK,1742367426
344,belyy yar,53.6039,91.3903,48.09,76,0,15.66,RU,1742367427
345,machico,32.7,-16.7667,65.01,83,75,28.77,PT,1742367428
346,labytnangi,66.6572,66.4183,13.32,89,24,7.52,RU,1742367429
347,oak bay,48.4496,-123.3026,45.46,87,100,15.01,CA,1742367430
348,laguna,38.421,-121.4238,44.94,80,0,3.44,US,1742367432
349,colonia,50.9333,6.95,40.95,39,0,5.75,DE,1742367433
350,enewetak,11.3474,162.3373,80.13,82,100,18.68,MH,1742367434
351,sinabang,2.4803,96.3801,86.77,66,38,2.39,ID,1742367435
352,jayapura,-2.5333,140.7,90.79,74,23,6.15,ID,1742367436
353,santa vitoria,-18.8386,-50.1214,71.02,88,100,3.51,BR,1742367437
354,salym,60.0625,71.4789,28.27,76,100,4.52,RU,1742367438
355,ponta delgada,37.7333,-25.6667,52.52,58,40,24.16,PT,1742367440
356,murwara,23.85,80.4,94.15,12,0,4.47,IN,1742367442
357,antonio enes,-16.2325,39.9086,80.31,75,98,5.57,MZ,1742367443
358,maitum,6.0392,124.4986,81.54,83,100,1.86,PH,1742367444
359,bucerias,20.75,-105.3333,69.98,86,0,5.46,MX,1742367445
360,holualoa,19.6228,-155.9522,68.83,96,99,1.99,US,1742367447
361,mildura,-34.2,142.15,91.08,20,17,12.59,AU,1742367448
